country,iso2,year,new.labconf,new.clindx,new.ep,ret.rel.labconf,ret.rel.clindx,ret.rel.ep,ret.nrel,ret.nrel.clindx,c.newunk,c.newinc,c.ret,c.notified,pulm.labconf.new,pulm.labconf.ret,pulm.labconf.unk,notif.foreign,rel.in.agesex.flg,agegroup.option,newrel.m04,newrel.m59,newrel.m1014,newrel.m514,newrel.m014,newrel.m1519,newrel.m2024,newrel.m1524,newrel.m2534,newrel.m3544,newrel.m4554,newrel.m5564,newrel.m65,newrel.m15plus,newrel.mu,newrel.f04,newrel.f59,newrel.f1014,newrel.f514,newrel.f014,newrel.f1519,newrel.f2024,newrel.f1524,newrel.f2534,newrel.f3544,newrel.f4554,newrel.f5564,newrel.f65,newrel.f15plus,newrel.fu,c.new.014,rdx.data.available,newinc.rdx,rdxsurvey.newinc,rdxsurvey.newinc.rdx,gaps.na.tbcases,remarks.tbcases,conf.rr.nfqr,conf.rr.fqr,unconf.rr.nfqr.tx,conf.rr.nfqr.tx,rrmdr.014.tx,conf.rr.fqr.tx,mdrxdr.bdq.used,mdrxdr.bdq.tx,mdrxdr.alloral.used,mdrxdr.alloral.tx,mdr.alloral.short.used,mdr.alloral.short.tx,mdr.tx.adsm,gaps.na.mdr.patients,remarks.mdr.patients,r.rlt.new,r.rlt.ret,rr.new,rr.ret,r.rlt.rel,rr.rel,dst.rlt.new,dst.rlt.ret,dst.rlt.hr.new,dst.rlt.hr.ret,dst.rlt.rr.new,dst.rlt.rr.ret,mdr.new,mdr.ret,rr.dst.rlt.fq,rr.fqr,rr.fqr.bdqr.lzdr,rr.fqr.bdqs.lzdr,rr.fqr.bdqu.lzdr,rr.fqr.bdqr.lzds,rr.fqr.bdqs.lzds,rr.fqr.bdqu.lzds,rr.fqr.bdqr.lzdu,rr.fqr.bdqs.lzdu,rr.fqr.bdqu.lzdu,gaps.na.dr.surveillance,remarks.dr.surveillance,newrel.tbhiv.flg,newrel.hivtest,newrel.hivpos,newrel.art,tbhiv.014.flg,newrel.hivtest.014,newrel.hivpos.014,newrel.art.014,gaps.na.hiv.patients,remarks.hiv.patients,hiv.tbrx.art,hiv.tbrx.art.NA,hiv.tbrx.art.NI.reason,hiv.tbrx.art.remarks,hiv.tbdetect,hiv.reg.new2,hiv.tbdetect.hiv.reg.new2.NA,hiv.tbdetect.hiv.reg.new2.NI.reason,hiv.tbdetect.hiv.reg.new2.remarks,hiv.tpt.eligible.start,hiv.tpt.eligible,hiv.art.tpt.start,hiv.art,hiv.tpt.eligible.start.NA,hiv.tpt.eligible.start.NI.reason,hiv.tpt.eligible.start.remarks,hiv.tpt.completed,hiv.tpt.eligible.start.ym2,hiv.tpt.completed.NA,hiv.tpt.completed.NI.reason,hiv.tpt.completed.remarks,hiv.unaids.date.exported,tbhiv.surveil,tbhiv.surv.prev,tbhiv.surv.yr,tbhiv.surv.cil,tbhiv.surv.ciu,tbhiv.sentin.prev,tbhiv.sentin.yr,tbhiv.sentin.cil,tbhiv.sentin.ciu,gaps.na.nonroutine.hiv,remarks.nonroutine.hiv,total.deaths.vr,r00.r99.deaths.vr,tbdeaths.vr,gaps.na.tbdeaths,remarks.tbdeaths
Canada,CA,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,"
Canada does not collect this information at the national level.",,,1,,"
Canada does not collect this information at the national level.",,,,,1,,"
Canada does not collect this information at the national level.",,,1,,"
Canada does not collect this information at the national level.",2021-06-28,,,,,,,,,,,,,,,,
Democratic Republic of the Congo,CD,2020,124468,37284,33066,3553,1862,722,1190,,194818,200955,7327,202145,124468,4152,0,,1,221,3327,,,8107,,,,17300,23112,22929,18073,12810,7574,101798,210,3003,,,7903,,,,14956,17360,16133,12902,9507,5560,76418,189,22340,60,9565,,,1,,1015,44,0,934,43,31,1,120,1,30,1,59,367,0,,11274,4068,455,560,3409,392,173,201,139,182,173,201,139,182,406,44,0,0,0,0,0,0,0,0,44,0,,0,154027,12041,10568,0,,,,0,ONUSIDA a changé les données tout en considérant le chiffre 10568 notifié par le programme tuberculose,16537,0,,"Sommation du Registre des patients sous traitement ART et Registre des patients tuberculeux

Patients VIH sous TB = 5969

Patients TB sous TARV = 10568

Contrairement aux années passées, nous faisons ici une sommation entre les données du PNLS et du PNLT
",6483,107468,0,,,48714,101068,,,0,,,,,1,,,2021-06-28,0,,,,,,,,,1,,,,,,
Central African Republic,CF,2020,6400,3260,2560,358,22,10,175,,12220,12610,565,12785,6399,504,1,0,1,221,357,,,516,,,,990,1683,1554,1147,575,314,6263,0,282,,,474,,,,949,1405,1103,703,310,173,4643,0,1629,60,74,,,0,"La remarque qui suit est exacte ""Le nombre total de cas en 2.9 [12535] n'est pas égal au nombre total de cas en 2.1(i)+2.2(i)+2.3(i)+2.1(ii)+2.2(ii)+2.3(ii) [6400 + 3260 + 2560 + 358 + 22 + 10 = 12610]"". En effet, après vérification des données venant des sites, nous nous sommes rendu compte des erreurs dans la décompte, mais elles n'ont pas toutes pu être corrigées à cause surtout des difficultés d'accès et de discussions directes avec les responsables de la gestion des données de la TB.",104,104,0,74,1,0,0,,0,,0,,64,0,Les patients TBRR/MR sont encore tous mis sous traitement court injectable.,671,74,39,65,,,39,65,0,0,39,65,0,0,0,0,,,,,,,,,,1,,1,10256,3087,2869,0,,,,1,,2869,0,,,3087,50805,0,,,56,7225,,,0,,,49,56,0,,,2021-06-28,0,,,,,,,,,0,,,,,,
Congo,CG,2020,4095,4119,2781,89,79,12,266,,10995,11175,446,11441,4095,180,0,0,1,221,139,,,301,,,,1039,1452,1430,1029,549,403,5902,0,149,,,308,,,,853,906,901,745,515,456,4376,0,897,60,5565,,,0,,163,0,0,157,0,0,0,,0,,0,,0,0,,4095,89,163,0,,,163,0,163,0,163,0,163,0,0,0,0,0,0,0,0,0,0,0,0,1,les cultures et les tests de sensibilités ne se font pas encore ,1,4871,833,491,0,,,,0,,833,0,,,,,,Reporting dates were not provided.,,,,,,1,,,,,1,,,2021-06-28,0,,,,,,,,,0,,,,,,
Switzerland,CH,2020,244,16,91,0,0,0,36,27,351,351,36,387,189,27,55,276,1,220,3,1,4,,,13,21,,38,34,35,24,26,191,0,5,2,1,,,6,13,,35,38,19,9,24,144,0,16,0,,,,0,Switzerland cannot distinguish between initial testing and rapid diagnostic tests.,4,1,0,1,0,1,1,1,3,,3,,,1,The Swiss Federal Office of Public Health cannot answer question 2.23 to 2.27 because of missing data.,171,0,4,0,,,169,0,7,0,3,0,0,0,4,2,0,1,0,0,1,0,0,0,0,0,,,,,,,,,,1,No TB/HIV data available for Switzerland,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,2021-06-28,0,,,,,,,,,0,,,,,1,The vital registration system in Switzerland in 2020 is not yet completed.
Côte d'Ivoire,CI,2020,12890,2105,3833,705,90,94,255,,18828,19717,1144,19972,12890,945,0,,1,221,118,,,349,,,,1857,3254,3332,1962,1133,800,12338,0,106,,,403,,,,1341,1626,1467,933,595,441,6403,0,976,60,2415,,,1,,394,19,0,374,14,17,0,,0,,0,,,1,,1285,945,124,270,,,383,270,66,266,68,85,66,81,31,19,,,,,,,,,,1,,1,19490,2856,2758,,,,,0,"Le chiffre de 2758 patients mis sous traitement antirétroviral ne peut être égal à 19722 vu que 19717 nouveaux cas et rechutes toutes formes de tuberculose ont été notifiés; ce chiffre est supérieur au nombre tootal de cas notifiés. 
De plus, ceci correspondrait à un taux de coinfection tuberculose/VIH de 100%. Ce qui est impossible.
Par ailleurs, après accord avec le PNLS, le chiffres du PNLT sont considérés comme les chiffres nationaux. Ils sont partagés avec le PNLS.",19722,0,,,2067,40703,0,,"Nous ne disposons pas d'informations sur les cas de tuberculoses parmi les nouvelles inclusions. Les données utilisées sont celles des personnes diagnostiquées positives pour une tuberculose dans la file active
",,,,,1,,,,,1,,,2021-06-28,0,,,,,,,,,0,,,,,,
Cook Islands,CK,2020,1,0,0,0,0,0,0,,1,1,0,1,1,0,0,0,0,220,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,60,1,,,0,"There is no relapse TB cases detected in Cook Islands in 2020.  The TB case diagnosed was detected from the Outer Islands. Contact tracing done and all contacts were negative.
",0,0,0,0,0,0,0,,0,,0,,0,0,No MDR-TB cases detected in 2020 nor RR-TB in Cook Islands,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No case who is resistant to linezolid,,0,0,0,,,,,0,TB case detected in 2020tested negative for HIV.,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,2021-06-28,0,,,,,,,,,0,All TB cases are routinely tested for HIV in Cook Islands,,,,,
Chile,CL,2020,1654,122,530,97,7,10,127,,2306,2420,241,2547,1654,211,0,639,1,220,16,5,13,,,48,110,,320,253,255,235,255,1476,0,14,6,25,,,37,81,,195,142,132,114,164,865,0,79,60,1061,,,0,,37,4,2,36,1,4,1,23,1,6,1,17,23,0,,1510,173,35,6,,,1510,167,51,6,35,6,22,3,40,4,0,0,0,0,1,0,0,1,2,0,,1,2065,214,,1,60,1,,1,,194,0,,"La fuente de la información son  los reportes de los establecimientos de atención de VIH de la red pública de salud, a las cuales se les preguntó los datos sobre coinfecciones.   Los datos son 2020 y se trabajaron en conjunto con los equipos locales del Programa Nacional de Tuberculosis (TB).
",99,3842,0,,"La fuente de la información son  los reportes de los establecimientos de atención de VIH de la red pública de salud, a las cuales se les preguntó los datos sobre coinfecciones.   Los datos son 2020 y se trabajaron en conjunto con los equipos locales del Programa Nacional de Tuberculosis (TB).
",85,121,,,0,,,,,1,,"No se dispone de la información como se solicita
",2021-06-28,0,,,,,,,,,0,,,,,,
Cameroon,CM,2020,13624,4087,3361,984,0,0,436,,21072,22056,1420,22492,13624,1420,0,73,1,221,175,,,363,,,,2035,3394,3106,2207,1438,986,13166,0,206,,,413,,,,1455,2126,1875,1089,668,520,7733,0,1157,0,,,,0,A la question 2.6 il s'agit des cas refugiés qui ont été rapportés dans notre système.,171,4,0,151,3,4,1,2,0,,0,,3,0,,,1330,,171,,,545,536,49,43,18,9,14,8,171,0,,,,,,,,,,0,,0,20699,5005,4899,0,,,,0,,,1,,,5005,350818,0,,,,,,,1,,,,,1,,,2021-06-28,0,,,,,,,,,0,,,,,,
China,CN,2020,297862,264362,33473,29018,,,8441,,595697,624715,37459,633156,297862,37459,,532,1,220,228,434,2631,,,21240,30839,,56845,44285,78123,80891,111073,423296,0,161,402,3158,,,15377,17680,,34925,22513,28489,27408,48013,194405,0,7014,60,280236,,,0,,15158,1185,0,12303,59,947,1,110,3,,0,,13250,0,,248587,36433,9406,6937,26976,4673,153360,29160,18908,8241,9406,6937,7337,5619,4726,1185,,,,,,,,,,1,"The resistance  rate of LZD and  BDQ  is currently  less than 1% respectively  in China, and  routine surveillance has not been conducted  yet.",1,423051,6076,5287,0,,,,0,,5287,0,,,2260,130566,0,,,,,,,1,,,,,1,,,2021-06-28,0,,,,,,,,,0,,,,,,
Colombia,CO,2020,6944,2925,1924,210,56,29,494,,11793,12088,789,12582,6620,519,324,701,1,220,71,43,57,,,314,862,,1903,1192,934,1015,1502,7722,0,45,35,71,,,281,476,,883,597,471,528,808,4044,0,322,60,2316,,,0,Ninguno ,134,4,17,166,2,4,1,5,1,183,0,,56,0,,1376,191,22,7,,,52,5,10,5,22,5,10,5,0,0,0,0,0,0,0,0,0,0,0,0,Desde el Laboratorio Nacional de Referencia se cuenta con estandarización de metodología para quinolonas y fármacos como bedaquilina y linezolid apartir del 2021. ,1,10879,1539,847,1,322,7,4,0,"El reporte del periodo de ONUSIDA difiere dado a que este genera un reporte de corte diferente al periodo generado de TB, para efectos de TB se cuenta con un número mayor de pacientes en TAR para el año 2020. ",,0,Reporting dates (2020-02-01 - 2021-01-31)  are not equal to calendar year 2020. Reported numerator: 1198,,502,14324,0,,,,,,,0,,,1247,119281,0,,,2021-06-28,0,,,,,,,,,0,,,,,,
Costa Rica,CR,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,0,,"Según datos preliminares de la Dirección de Vigilancia de la Salud, se registraron 195 casos de TB (enero - agosto 2020)
",8,919,0,,,,,,,1,,,,,1,,,2021-06-28,,,,,,,,,,,,,,,,
Cuba,CU,2020,375,85,72,44,4,0,16,,532,580,64,596,375,59,0,1,1,220,2,1,0,,,7,13,,64,87,135,83,54,443,0,2,1,3,,,5,13,,29,24,17,17,23,128,0,9,60,126,,,0,,5,0,0,4,0,0,0,,,,0,,,1,,190,35,2,3,,,156,25,2,3,0,3,0,2,0,0,,,,,,,,,,1,,1,580,55,52,1,9,0,0,0,"Siempre trabajamos de conjunto con los colegas del Prgrama de VIH-sdia ,lo que los datos del PN sida a Informe ONUSIda fueron cifras preliminares,estas de ahora son las definitivas.",35,0,,,35,1811,0,,"
La vigilancia, screening  y reporte de casos de coinfeccion se ha visto afectada por la pandemia de Covid 19 debido  a las sucesivas olas epidemicas y los confinamientos de amplias areas geograficas.",205,1811,,,0,,,,,1,,,2021-06-28,,,,,,,,,,1,,,,,,
Cabo Verde,CV,2020,151,18,23,8,7,0,3,,192,207,18,210,151,11,0,6,1,221,1,,,1,,,,18,21,36,39,11,12,137,0,3,,,1,,,,16,19,10,6,7,6,64,0,6,60,86,,,0,"Due to a malfunction in the GeneXpert device module in one of the laboratories, the number of tested cases using a WHO-recommended rapid diagnostic (for example Xpert MTB/RIF) as the initial diagnostic test was lower than the year 2019",0,0,0,0,0,0,0,,0,,0,,0,0,,77,9,0,0,,,77,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,208,27,25,,,,,0,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,2021-06-28,0,,,,,,,,,0,,,,,,
Curaçao,CW,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,2021-06-28,,,,,,,,,,,,,,,,
Cyprus,CY,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,2021-06-28,,,,,,,,,,,,,,,,
Czechia,CZ,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,,,5,248,0,,,,,,,1,,,,,1,,,2021-06-28,,,,,,,,,,,,,,,,
Germany,DE,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,,,,,1,,,,,,,1,,,,,1,,,2021-06-28,0,,,,,,,,,0,,,,,1,
Djibouti,DJ,2020,754,144,779,17,3,4,0,,1677,1701,24,1701,754,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,"la question 2.6 pour la nationnalité n'est pas applicable à Djibouti
Pour la question 2.7 et 2.8 les tranches d'ages sont plus de 15 ans et moins de 15ans pour 2020 :1546 cas ont plus de 15 ans et 155 cas ont moins de 15ans",53,5,0,49,2,5,0,,0,,0,,0,0,2.27 pas de surveillance avec des effets indésirables car panne de l'appareil MGIT pour réaliser les test,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,1365,53,19,,,,,0,,51,0,,,20,183,0,,,,,,,1,,,,,1,,,2021-06-28,0,,,,,,,,,0,,,,,,
Denmark,DK,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,2021-06-28,,,,,,,,,,,,,,,,
Dominica,DM,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,1,,,,,1,,,2021-06-28,,,,,,,,,,,,,,,,
Dominican Republic,DO,2020,1507,577,223,145,77,15,216,,2307,2544,453,2760,1507,291,0,171,1,220,4,3,9,,,41,140,,422,368,302,199,159,1631,0,5,7,16,,,56,106,,223,158,143,101,82,869,0,44,60,1549,,,0,,149,10,8,165,4,16,1,162,1,162,0,,177,0,Estamos usando tratamiento con orales largos e inyectables en algunos casos individualizados.,1089,229,106,42,,,306,43,83,32,56,30,49,21,80,10,,,,,,,,,,1,2.36 y 2.37 tomados de la base de datos de TBDR por omisión de datos en el SIOE,1,2183,549,373,1,35,7,5,0,,524,0,,,596,4562,0,,,,,,,1,,,,,1,,,2021-06-28,0,,,,,,,,,0,,,,,,
Algeria,DZ,2020,4114,1049,11827,222,,,104,,16990,17212,326,17316,4114,287,0,,1,222,,,,,7,,,423,632,450,329,205,281,2320,2327,,,,,39,,,386,346,263,173,152,252,1572,1611,46,0,,,,1,La répartition par age et par sexe n'a intéréssé que les cas de TP M+ et certaines localisations de TEP,63,8,0,46,,8,0,,1,46,0,,54,1,,51,87,7,21,,,51,87,12,20,7,21,7,17,11,5,0,0,,0,0,0,0,0,5,1,,0,,,,,,,,1,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,2021-06-28,0,,,,,,,,,1,,,,,,
Ecuador,EC,2020,3547,700,719,302,0,0,201,,4966,5268,503,5469,3547,503,0,0,1,221,27,,,51,,,,877,1166,701,410,338,375,3867,0,29,,,47,,,,237,277,208,181,164,180,1247,0,154,0,,,,0,2.6 no se dispone de informacion sobre esta variable en este momento.,253,3,0,253,3,3,1,2,1,3,1,2,256,0,,2900,503,95,161,,,612,197,109,70,46,50,38,49,86,7,0,0,0,0,0,0,0,0,7,0,"los 7 afectados por TB pre XDR, corresponden a resultados de resistencia a Fluoroquinolonas.
las pruebas de resistencia a H y a Fq, las maneja directamente el lLaboratorio nacional, no asi las pruebas de RR, que las maneja la estrategia nacional en su red de laboratorios.",1,3252,522,455,0,,,,0,,455,0,,,425,3823,0,,"Información de PVV con coinfección VIH-TB en tratamiento en el año 2020
",72,3116,,,0,,"No se dispone de esta información
",,,1,,"No se dispone de esta información
",2021-06-28,0,,,,,,,,,0,"realizamos pruebas de tamizaje a todos los afectados por TB, sin embargo en el año 2020, debido a la pandemia covid19 hubo escasez de pruebas de tamizaje de 4ta generación, en territorio por lo que no se realizó la totalidad de pacientes",,,,,
Estonia,EE,2020,95,6,8,11,0,0,4,0,109,120,15,124,95,14,0,36,1,220,0,0,0,,,1,2,,9,7,24,22,24,89,0,0,0,1,,,0,0,,2,4,6,4,14,30,0,1,60,105,,,,Data extracted from ECDC/TESSy 2021-06-28,15,6,0,13,0,5,1,10,1,15,3,,19,1,{2.14-2-20: Data extracted from ECDC/TESSy 2021-06-28}. ,91,13,17,4,,,88,10,23,3,16,3,16,3,19,6,,,,,,,0,0,6,1,Data extracted from ECDC/TESSy 2021-06-28,1,113,11,11,,,,,1,,11,0,,"Report of ambulatory DOT services
",,,1,,"
In 2020 
3 persons living with HIV had active tb disease",,,,,1,,"1 person received TB preventive therapy
",,,1,,,2021-06-28,0,,,,,,,,,1,,15684,236,9,0,"Data source: Estonian Causes of Death Register, VR.3 -TB deaths include codes A15-A19 and B90"
Egypt,EG,2020,3311,98,3282,193,0,98,133,,6691,6982,424,7115,3311,326,0,487,1,221,108,,,150,,,,682,1227,893,581,502,296,4181,0,63,,,150,,,,604,541,390,306,299,190,2330,0,471,60,4096,,,0,,83,0,0,63,1,0,1,32,1,32,0,,0,0,,2815,326,22,41,,,2815,326,8,6,22,41,6,5,45,0,0,0,0,0,0,0,0,0,0,0,,1,2751,12,12,,,,,0,,12,0,,,5,1903,0,,,,,,,1,,,,,1,,,2021-06-28,0,,,,,,,,,0,,,,,,
Eritrea,ER,2020,660,244,571,83,21,15,22,,1475,1594,141,1616,660,83,0,0,1,221,47,,,58,,,,147,144,123,124,103,130,771,0,40,,,56,,,,90,131,127,97,86,91,622,0,201,60,1594,,,0,,28,0,0,28,0,0,1,18,1,18,1,1,28,0,,660,83,20,8,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1590,60,57,,,,,0,,57,0,,,18,291,0,,,,,,,1,,,,,1,,,2021-06-28,0,,,,,,,,,0,,,,,,
Spain,ES,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,2021-06-28,,,,,,,,,,,,,,,,
Ethiopia,ET,2020,43438,28318,32895,3542,,,521,,104651,108193,4063,108714,43438,3723,,,1,221,1789,,,3808,,,,14353,15414,10335,6623,4640,3591,54956,,1316,,,3926,,,,11971,12653,8143,5148,2866,1617,42398,,10839,61,,592,478,1,,584,7,0,584,2,7,1,39,1,39,1,0,584,1,,41164,2513,548,36,,,106,65,39,35,40,36,36,33,339,6,,,,,,6,,,,1,,1,87933,5737,5187,,,,,1,,5187,0,,,1982,29439,0,,,,,,,0,"Reporting dates (2019-01-01 - 2020-12-31)  are not equal to calendar year 2020. Reported numerator: , denominator: ",,,,1,,,2021-06-28,0,,,,,,,,,0,,,,,,
Finland,FI,2020,104,10,56,3,1,0,0,0,170,174,4,174,104,3,0,66,1,220,2,0,1,,,2,6,,10,8,6,17,49,98,0,0,0,2,,,1,1,,11,9,5,7,37,71,0,5,60,107,,,,Data extracted from ECDC/TESSy 2021-06-28,1,0,0,0,0,0,0,,0,,0,,0,0,"{2.14-2-20: Data extracted from ECDC/TESSy 2021-06-28}. Only one case of MDR-TB was diagnosed in Finland in 2020. This case was laboratory confirmed. However, the patient returned back to Ukraine, and thus treatment was not started in Finland.",100,2,0,0,,,100,2,11,0,0,0,0,0,0,0,,,,,,,0,0,0,1,Data extracted from ECDC/TESSy 2021-06-28,1,,1,,,,,,1,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,2021-06-28,0,,,,,,,,,0,,,,,1,
Fiji,FJ,2020,120,132,165,6,4,4,6,,417,431,20,437,120,6,0,9,1,220,22,21,18,,,18,18,,47,32,33,19,22,189,2,16,23,13,,,11,12,,29,21,15,22,16,126,1,113,60,134,,,0,,0,0,0,0,0,0,0,,0,,0,,0,0,,120,6,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,437,22,17,,,,,1,,20,0,,,21,147,0,,,12,127,,,0,,,,,1,,,2021-06-28,0,,,,,,,,,1,,,,,,
Micronesia (Federated States of),FM,2020,29,54,9,0,0,0,2,,92,92,2,94,29,0,0,4,1,221,0,,,4,,,,9,8,12,13,8,3,53,0,1,,,6,,,,11,4,5,4,4,0,28,0,11,60,92,,,0,All data is from our regular surveillance,0,0,0,0,0,0,0,,0,,0,,0,0,"Fortunately, Micronesia did not encounter any cases of Rifampicin or MDR-TB for this reporting period",29,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"For this reporting period, no Pre-XDR TB patients detected",1,61,0,0,,,,,0,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,2021-06-28,0,,,,,,,,,0,,,,,,
France,FR,2020,2085,920,1341,0,0,0,202,53,4346,4346,202,4548,1045,99,1040,2687,1,220,44,22,27,,,232,323,,672,500,302,255,435,2719,0,48,19,38,,,98,175,,305,241,167,153,290,1429,0,198,60,0,,,,Data extracted from ECDC/TESSy 2021-06-28,59,8,0,0,0,0,1,,1,,1,,,1,{2.14-2-20: Data extracted from ECDC/TESSy 2021-06-28}. ,20,11,20,11,,,20,11,20,11,20,11,20,11,27,6,,,,,,,0,0,6,1,Data extracted from ECDC/TESSy 2021-06-28,,,,,,,,,,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,2021-06-28,1,,,,,5.1,2019,4.1,6.2,1,,,,389,1,2016 data. 
Gabon,GA,2020,525,382,113,33,20,1,47,,1020,1074,101,1121,525,33,0,0,1,221,16,,,19,,,,126,215,123,84,26,25,599,0,7,,,12,,,,89,152,78,48,19,13,399,0,54,0,,,,0,,90,13,0,99,1,9,1,15,1,15,1,4,99,0,,3752,854,44,59,,,44,59,44,56,44,59,44,56,44,5,,,,,,,,,,1,On ne fait pas encore de DST pour la bedaquiline et du linézolide aux patients pré-XDR ,1,428,121,71,1,45,1,1,0,,391,0,,,370,391,0,,,677,1157,,,0,,,,,1,,,2021-06-28,0,,,,,,,,,0,,,,,,
United Kingdom of Great Britain and Northern Ireland,GB,2020,1809,444,1932,,,,273,48,4185,4185,273,4458,1693,118,116,3123,1,220,28,25,24,,,126,174,,523,513,404,291,351,2382,0,28,19,29,,,83,124,,384,359,257,181,262,1650,0,153,60,475,,,0,,,,,,,,,,,,,,,0,,1546,76,31,4,,,1542,76,123,6,31,4,23,2,32,8,,,,,,,,,,0,,,,,,,,,,0,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,2021-06-28,,,,,,,,,,0,,,,,0,
Grenada,GD,2020,1,0,0,0,0,0,0,,1,1,0,1,1,0,0,0,1,220,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,1,0,0,0,1,0,0,60,0,,,0,,0,0,0,0,0,0,0,,0,,0,,0,1,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,1,0,0,1,0,0,0,1,,0,0,,,0,23,0,,,,,,,1,,,,,,Reporting dates were not provided.,,2021-06-28,0,,,,,,,,,1,,,,,,
